packageA,packageB,CODE-DEPENDENCY,CO-DEPENDENCY,CATEGORY
org.odpi.openmetadata.adapters.connectors.jacquard,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestsurveys,org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestsurveys.schema,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.beans,org.odpi.openmetadata.conformance.workbenches.repository,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.runtimemanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.frameworkservices.omf.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.datadesigner.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.rest.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.builders,org.odpi.openmetadata.frameworks.openmetadata.handlers,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.auditlog,org.odpi.openmetadata.repositoryservices.rest.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.integration.jdbc.transfer.requests,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.rest.repositoryconnector,org.odpi.openmetadata.repositoryservices.ffdc.exception,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.ffdc,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.solutionarchitect.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.datamanager.fvt.databases,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.unitycatalog.sync,org.odpi.openmetadata.frameworks.integration.iterator,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.rest.properties,org.odpi.openmetadata.repositoryservices.rest.server.spring,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.communityprofile.fvt.validvalues,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.datamanager.fvt.validvalues,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.digitalarchitecture.fvt.validvalues,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestsurveys,org.odpi.openmetadata.frameworks.openmetadata.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.types,org.odpi.openmetadata.samples.governanceactions.clinicaltrials,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.metadataexpert.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.connectionmaker.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.postgres.survey,org.odpi.openmetadata.frameworks.opensurvey.measurements,HIGH,LOW,CAN BE INCONSISTENT
