source_package,target_package,WDS,DD,NWDS,FINAL_SCORE
org.odpi.openmetadata.repositoryservices.clients,org.odpi.openmetadata.repositoryservices.ffdc.exception,1217,5,1217.0,2180.571274050543
org.odpi.openmetadata.adapters.connectors.jacquard.productcatalog,org.odpi.openmetadata.frameworks.openmetadata.types,1204,5,1204.0,2157.278400950578
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.commonservices.repositoryhandler,1027,7,1027.0,2135.5864633051915
org.odpi.openmetadata.viewservices.classificationexplorer.server,org.odpi.openmetadata.frameworks.openmetadata.handlers,1076,6,1076.0,2093.799320383517
org.odpi.openmetadata.accessservices.assetmanager.fvt.dataassets,org.odpi.openmetadata.fvt.utilities.exceptions,1292,4,1292.0,2079.3937828648577
org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,1052,6,1052.0,2047.0974768061894
org.odpi.openmetadata.viewservices.assetmaker.server,org.odpi.openmetadata.commonservices.ffdc.rest,1049,6,1049.0,2041.2597463590237
org.odpi.openmetadata.adapters.connectors.apacheatlas.integration.modules,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,978,7,978.0,2033.6938277628794
org.odpi.openmetadata.adapters.repositoryservices,org.odpi.openmetadata.frameworks.connectors.properties.beans,976,7,976.0,2029.5349446795196
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.frameworks.openmetadata.ffdc,1247,4,1247.0,2006.969076805323
org.odpi.openmetadata.accessservices.assetowner.fvt.dataassets,org.odpi.openmetadata.fvt.utilities.exceptions,1239,4,1239.0,1994.0935735058501
org.odpi.openmetadata.contentpacks.core.base,org.odpi.openmetadata.contentpacks.core,1233,4,1233.0,1984.4369460312457
org.odpi.openmetadata.samples.governanceactions.clinicaltrials,org.odpi.openmetadata.frameworks.openmetadata.search,949,7,949.0,1973.3900230541642
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,1204,4,1204.0,1937.7632465706567
org.odpi.openmetadata.contentpacks.core.base,org.odpi.openmetadata.samples.archiveutilities,1081,5,1081.0,1936.8919862355274
org.odpi.openmetadata.viewservices.actormanager.server,org.odpi.openmetadata.commonservices.ffdc,1201,4,1201.0,1932.9349328333544
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,958,6,958.0,1864.18192279499
org.odpi.openmetadata.conformance.tests.repository.types,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,892,7,892.0,1854.8618551784134
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,1138,4,1138.0,1831.540344350006
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,1124,4,1124.0,1809.0082135759287
org.odpi.openmetadata.samples.archiveutilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.utilities,2568,1,2568.0,1780.0019596779396
org.odpi.openmetadata.contentpacks.core,org.odpi.openmetadata.frameworks.openmetadata.refdata,909,6,909.0,1768.8323254912798
org.odpi.openmetadata.samples.governanceactions.clinicaltrials,org.odpi.openmetadata.frameworks.opengovernance,1088,4,1088.0,1751.068448728301
org.odpi.openmetadata.viewservices.datadesigner.server,org.odpi.openmetadata.commonservices.ffdc.rest,957,5,957.0,1714.7138120512486
org.odpi.openmetadata.frameworkservices.omf.server,org.odpi.openmetadata.frameworks.openmetadata.properties,818,7,818.0,1700.9831810941057
org.odpi.openmetadata.viewservices.connectionmaker.server,org.odpi.openmetadata.commonservices.ffdc.rest,871,6,871.0,1694.887739827178
org.odpi.openmetadata.repositoryservices.archiveutilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,805,7,805.0,1673.9504410522677
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,852,6,852.0,1657.9154469951268
org.odpi.openmetadata.contentpacks.core,org.odpi.openmetadata.frameworks.openmetadata.controls,1173,3,1173.0,1626.1232855936316
org.odpi.openmetadata.viewservices.feedbackmanager.server,org.odpi.openmetadata.commonservices.ffdc.rest,779,7,779.0,1619.884960968592
org.odpi.openmetadata.adapters.connectors.jacquard,org.odpi.openmetadata.adapters.connectors.jacquard.productcatalog,899,5,899.0,1610.7917628360215
org.odpi.openmetadata.adapters.connectors,org.odpi.openmetadata.frameworks.openmetadata.refdata,892,5,892.0,1598.249446551425
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.utilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,819,6,819.0,1593.7004120763015
org.odpi.openmetadata.viewservices.classificationexplorer.server,org.odpi.openmetadata.commonservices.multitenant,811,6,811.0,1578.133130883859
org.odpi.openmetadata.viewservices.assetmaker.server,org.odpi.openmetadata.commonservices.ffdc,977,4,977.0,1572.420840448116
org.odpi.openmetadata.viewservices.collectionmanager.server,org.odpi.openmetadata.commonservices.ffdc.rest,807,6,807.0,1570.3494902876378
org.odpi.openmetadata.viewservices.solutionarchitect.server,org.odpi.openmetadata.commonservices.ffdc.rest,870,5,870.0,1558.8307382284079
org.odpi.openmetadata.samples.governanceactions.clinicaltrials,org.odpi.openmetadata.frameworks.openmetadata.properties,793,6,793.0,1543.1067482008634
org.odpi.openmetadata.adapters.connectors.jacquard,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,859,5,859.0,1539.1213840668993
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,734,7,734.0,1526.3100915929995
org.odpi.openmetadata.frameworks.openmetadata.refdata,org.odpi.openmetadata.frameworks.openmetadata.types,1320,2,1320.0,1450.1682210419049
org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestsurveys,org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestsurveys.schema,894,4,894.0,1438.8374937160856
org.odpi.openmetadata.conformance.workbenches.repository,org.odpi.openmetadata.conformance.beans,652,8,652.0,1432.5904244232152
org.odpi.openmetadata.viewservices.runtimemanager.server,org.odpi.openmetadata.commonservices.ffdc,885,4,885.0,1424.3525525041787
org.odpi.openmetadata.viewservices.datadesigner.server,org.odpi.openmetadata.commonservices.ffdc,869,4,869.0,1398.6015459052333
org.odpi.openmetadata.frameworkservices.omf.server,org.odpi.openmetadata.commonservices.ffdc,869,4,869.0,1398.6015459052333
org.odpi.openmetadata.repositoryservices.rest.server,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,780,5,780.0,1397.572385997883
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.builders,868,4,868.0,1396.992107992799
org.odpi.openmetadata.repositoryservices.rest.server,org.odpi.openmetadata.frameworks.auditlog,705,6,705.0,1371.8666550839957
org.odpi.openmetadata.adapters.connectors.integration.jdbc.transfer.requests,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,760,5,760.0,1361.7371966133217
org.odpi.openmetadata.adapters.repositoryservices.rest.repositoryconnector,org.odpi.openmetadata.repositoryservices.ffdc.exception,760,5,760.0,1361.7371966133217
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.frameworks.openmetadata.ffdc,846,4,846.0,1361.584473919249
org.odpi.openmetadata.viewservices.solutionarchitect.server,org.odpi.openmetadata.commonservices.ffdc,845,4,845.0,1359.9750360068147
org.odpi.openmetadata.accessservices.datamanager.fvt.databases,org.odpi.openmetadata.fvt.utilities.exceptions,840,4,840.0,1351.9278464446443
org.odpi.openmetadata.adapters.connectors.unitycatalog.sync,org.odpi.openmetadata.frameworks.integration.iterator,649,7,649.0,1349.5575605502133
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties,613,8,613.0,1346.8986659071027
org.odpi.openmetadata.repositoryservices.rest.server.spring,org.odpi.openmetadata.repositoryservices.rest.properties,966,3,966.0,1339.1603528418143
org.odpi.openmetadata.accessservices.digitalarchitecture.fvt.validvalues,org.odpi.openmetadata.fvt.utilities.exceptions,830,4,830.0,1335.8334673203033
