source_package,target_package,import,contain,parameter,call,return,throw,implement,extend,create,use,cast,impllink,annotation,mixin
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,14,29,0,42,0,0,0,0,0,17,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.conformance.tests.repository,14,0,0,235,0,0,0,14,0,180,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.ffdc.exception,30,0,0,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.conformance.workbenches.repository,28,7,14,64,0,0,0,0,0,1535,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,34,45,34,406,0,0,0,0,0,62,8,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,43,300,82,1248,4,0,0,0,26,208,7,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.conformance.ffdc.exception,12,0,0,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.conformance.beans,0,0,0,709,0,0,0,0,0,87,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties,8,0,6,2,0,0,0,0,0,105,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,12,25,0,272,0,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.events,1,0,1,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.conformance.ffdc,3,0,0,0,0,0,0,0,0,22,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.frameworks.openmetadata.ffdc,3,0,0,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.frameworks.auditlog,0,0,0,11,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.search,6,14,4,50,0,0,0,0,14,20,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.properties.connections,org.odpi.openmetadata.frameworks.openmetadata.types,9,0,0,0,0,0,0,0,0,18,0,0,0,0
