source_file,target_file,import,contain,parameter,call,return,throw,implement,extend,create,use,cast,impllink,annotation,mixin
open-metadata-implementation/repository-services/repository-services-implementation/src/main/java/org/odpi/openmetadata/repositoryservices/localrepository/repositorycontentmanager/OMRSRepositoryContentValidator.java,open-metadata-implementation/repository-services/repository-services-apis/src/main/java/org/odpi/openmetadata/repositoryservices/ffdc/OMRSErrorCode.java,1,0,0,0,0,0,0,0,0,164,0,0,0,0
open-metadata-implementation/repository-services/repository-services-implementation/src/main/java/org/odpi/openmetadata/repositoryservices/localrepository/repositorycontentmanager/OMRSRepositoryContentValidator.java,open-metadata-implementation/repository-services/repository-services-apis/src/main/java/org/odpi/openmetadata/repositoryservices/ffdc/OMRSAuditCode.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/platform-services/platform-services-client/src/main/java/org/odpi/openmetadata/platformservices/client/PlatformServicesClient.java,open-metadata-implementation/frameworks/open-connector-framework/src/main/java/org/odpi/openmetadata/frameworks/connectors/properties/beans/ConnectorType.java,1,0,0,0,1,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/nanny-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/jacquard/JacquardIntegrationConnector.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/connectorcontext/DataStructureClient.java,0,1,0,3,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/nanny-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/jacquard/JacquardIntegrationConnector.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/connectorcontext/DataFieldClient.java,0,1,0,2,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/nanny-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/jacquard/JacquardIntegrationConnector.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/connectorcontext/EndpointClient.java,0,1,0,2,0,0,0,0,0,1,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/properties/OMAGServerProperties.java,0,1,2,15,2,0,0,0,1,2,0,0,0,0
open-metadata-implementation/adapters/open-connectors/nanny-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/jacquard/JacquardIntegrationConnector.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/connectorcontext/ConnectorTypeClient.java,0,1,0,2,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/properties/OMAGMetadataStoreProperties.java,0,1,0,7,0,0,0,0,1,1,0,0,0,0
open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/handlers/OpenMetadataHandlerBase.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/mermaid/SpecificationMermaidGraphBuilder.java,0,1,0,1,0,0,0,0,1,0,0,0,0,0
open-metadata-implementation/view-services/community-matters/community-matters-spring/src/main/java/org/odpi/openmetadata/viewservices/communitymatters/server/spring/CommunityMattersResource.java,open-metadata-implementation/common-services/ffdc-services/src/main/java/org/odpi/openmetadata/commonservices/ffdc/rest/SearchStringRequestBody.java,0,0,1,0,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/properties/OMAGServerPlatformProperties.java,0,1,0,12,1,0,0,0,1,0,0,0,0,0
open-metadata-implementation/view-services/community-matters/community-matters-spring/src/main/java/org/odpi/openmetadata/viewservices/communitymatters/server/spring/CommunityMattersResource.java,open-metadata-implementation/common-services/ffdc-services/src/main/java/org/odpi/openmetadata/commonservices/ffdc/rest/OpenMetadataRootElementsResponse.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/file-survey-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/surveyaction/surveycsv/CSVSurveyService.java,open-metadata-implementation/frameworks/open-survey-framework/src/main/java/org/odpi/openmetadata/frameworks/opensurvey/AnnotationStore.java,1,1,0,7,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/handlers/OpenMetadataHandlerBase.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/mermaid/OrganizationTreeMermaidGraphBuilder.java,0,1,0,1,0,0,0,0,1,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/properties/OMAGIntegrationGroupProperties.java,0,1,1,5,0,0,0,0,1,1,0,0,0,0
open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/handlers/OpenMetadataHandlerBase.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/mermaid/OpenMetadataRootMermaidGraphBuilder.java,0,3,0,3,0,0,0,0,3,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/properties/OMAGEngineHostProperties.java,0,1,0,2,0,0,0,0,1,1,0,0,0,0
open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/handlers/OpenMetadataHandlerBase.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/mermaid/SolutionComponentMermaidGraphBuilder.java,0,1,0,1,0,0,0,0,1,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/properties/OMAGIntegrationDaemonProperties.java,0,1,0,3,0,0,0,0,1,1,0,0,0,0
open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/handlers/OpenMetadataHandlerBase.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/mermaid/SolutionBlueprintMermaidGraphBuilder.java,0,1,0,1,0,0,0,0,1,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/platform/catalog/OMAGServerPlatformCatalogConnector.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/properties/assets/metadatarepositories/MetadataCollectionProperties.java,1,1,0,1,0,0,0,0,1,0,0,0,0,0
open-metadata-implementation/access-services/gaf-metadata-management/gaf-topic-connectors/src/main/java/org/odpi/openmetadata/frameworkservices/gaf/connectors/outtopic/GAFOutTopicClientProvider.java,open-metadata-implementation/access-services/gaf-metadata-management/gaf-topic-connectors/src/main/java/org/odpi/openmetadata/frameworkservices/gaf/connectors/outtopic/GAFOutTopicClientConnector.java,0,0,0,0,0,0,0,0,0,1,0,0,0,0
open-metadata-conformance-suite/open-metadata-conformance-suite-server/src/main/java/org/odpi/openmetadata/conformance/workbenches/repository/listener/ConformanceSuiteOMRSTopicListener.java,open-metadata-implementation/repository-services/repository-services-apis/src/main/java/org/odpi/openmetadata/repositoryservices/connectors/omrstopic/OMRSTopicListener.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/repository-services-connectors/cohort-registry-store-connectors/cohort-registry-file-store-connector/src/main/java/org/odpi/openmetadata/adapters/repositoryservices/cohortregistrystore/file/FileBasedRegistryStoreConnector.java,open-metadata-implementation/frameworks/open-connector-framework/src/main/java/org/odpi/openmetadata/frameworks/connectors/ffdc/ConnectorCheckedException.java,1,0,0,0,0,1,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/integration-connectors/openlineage-integration-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/integration/openlineage/OpenLineageCataloguerIntegrationConnector.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/types/OpenMetadataType.java,1,0,0,0,0,0,0,0,0,4,0,0,0,0
open-metadata-implementation/adapters/open-connectors/file-survey-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/surveyaction/surveycsv/CSVSurveyService.java,open-metadata-implementation/frameworks/open-survey-framework/src/main/java/org/odpi/openmetadata/frameworks/opensurvey/controls/AnalysisStep.java,1,0,0,0,0,0,0,0,0,6,0,0,0,0
open-metadata-implementation/adapters/open-connectors/file-survey-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/surveyaction/surveycsv/CSVSurveyService.java,open-metadata-implementation/frameworks/open-survey-framework/src/main/java/org/odpi/openmetadata/frameworks/opensurvey/SurveyContext.java,0,0,0,3,0,0,0,0,0,0,0,0,0,0
